docid	hathi_author	hathi_title	authordate	birthyear	deathyear	chi_date	ukw_date	copyright_date	firstpub	datewrong	nationality	nonficprob	distances	copyright_corpus	manual_corpus	us_national	pubdate_known	authof3ormore	tokens	pagesinchunk	tokensperpage	omnibus
uva.x000982662	Valera, Juan	Pepita Ximenez	1824-1905.	1824.0					1891			0.36522591753994		False	False	False	False	False	38189	249	153.369	False
nc01.ark+=13960=t50g4fx5d	Greene, Aella	John Peters	1838-	1838.0					1891			0.510071260511476		False	False	False	False	False	31167	192	162.328	False
nyp.33433075815591	La Brète, Jean de	The story of Reine, or, My uncle and my curé	1854-1945.	1854.0					1891			0.140861169446851		False	False	False	False	False	29407	256	114.871	False
uiuo.ark+=13960=t7zk5vs95	St. Aubyn, Alan	The junior dean							1891			0.10686098002769		False	False	False	False	False	23887	240	99.529	False
nyp.33433076049208	Piatt, Donn	The Reverend Melancthon Poundex : a novel	1819-1891.	1819.0					1891			0.264903250820342		False	False	False	False	False	79049	308	256.653	False
njp.32101068972320	Knowles, R. B. Sheridan	Glencoonoge : a novel							1891			0.189659658218329		False	False	False	False	False	31056	251	123.729	False
mdp.39015030853413	Bunner, H. C. (Henry Cuyler)	Zadoc Pine, and other stories	1855-1896.	1855.0					1891			0.147847899806177		False	False	True	True	True	32017	219	146.196	False
dul1.ark+=13960=t8kd2p445	Fiske, Amos Kidder	Beyond the bourn;	1842-1921.	1842.0					1891			0.89286042126758		False	False	False	False	False	21098	199	106.02	False
nyp.33433074850011	Alexander, Mrs	Mammon	1825-1902.	1825.0					1891			0.041956782098198		False	False	False	False	False	59492	324	183.617	False
nnc1.1002196247	Mulhern, D. S. (Donald S.)	Donald Stephen's reminiscences							1891			0.580034258167634		False	False	False	False	False	57982	210	276.105	False
uc1.b3324245	Janvier, Thomas A. (Thomas Allibone)	Color studies and A Mexican campaign	1849-1913.	1849.0					1891			0.038060841525561		False	False	False	False	False	38075	331	115.03	False
uiuo.ark+=13960=t6rx9mq4s	Dickens, Mary Angela	Cross currents							1891			0.056825980874452		False	False	False	False	False	21967	203	108.212	False
uva.x000684982	Ouida	A dog of Flanders : a Christmas story	1839-1908.	1839.0					1891			0.242102196606931		False	False	False	False	False	9317	96	97.052	False
coo.31924064973542	Braddon, M. E. (Mary Elizabeth)	Gerard; or, The world, the flesh, and the devil;	1835-1915.	1835.0					1891			0.113711845983554		False	False	False	False	False	45575	240	189.896	False
nyp.33433074941604	Chads, Ellen Augusta	Tracked by bushrangers, and other stories, together with Work for the Masters; a series of papers for women							1891			0.248799406888386		False	False	False	False	False	19794	89	222.404	False
uiuo.ark+=13960=t7vm4nf3b	Grey, Edward	Dr. Sinclair's sister							1891			0.137440900494962		False	False	False	False	False	33760	267	126.442	False
nc01.ark+=13960=t41r7m294	Mason, Benjamin F. (Benjamin Franklin)	Through war to peace	1852-1927.	1852.0					1891			0.103451960205681		False	False	False	False	False	32856	100	328.56	False
uc1.$b808697	Wilde, Oscar	The picture of Dorian Gray	1854-1900.	1854.0					1891			0.103749236568826		False	False	False	False	False	45442	283	160.572	False
uc1.$b800485	Chatfield-Taylor, H. C. (Hobart Chatfield)	With edge tools	1865-1945.	1865.0	1945.0	1891.0			1891	9.1	us	0.064533368702641	39.9596588477278	False	True	True	True	False	32357	263	123.03	False
coo.31924022189413	Stevens, D. W	The James boys in No Man's Land; or, The bandit king's last ride	1849-1901.	1849.0					1891			0.164515843880688		False	False	False	False	False	33176	30	1105.867	False
uc2.ark+=13960=t14m91m2c	Doran, James	Zanthon							1891			0.332306362895142		False	False	False	False	False	90206	443	203.625	False
mdp.39015059421860	Janvier, Thomas A. (Thomas Allibone)	The uncle of an angel and other stories	1849-1913.	1849.0					1891			0.369269241013937		False	False	True	True	True	35529	252	140.988	False
uc2.ark+=13960=t5cc0xm13	Gunsaulus, Frank Wakeley	Monk and knight;							1891			0.055464731709436		False	False	False	False	False	109578	576	190.2	False
uva.x000171994	condesa de, Pardo Bazán, Emilia	A wedding trip	1852-1921.	1852.0					1891			0.135310747918128		False	False	False	False	False	42530	295	144.169	False
uc1.32106011767883	Goncharov, Ivan Aleksandrovich	The precipice	1812-1891.	1812.0					1891			0.112397314189834		False	False	False	False	False	198080	352	562.727	False
uc2.ark+=13960=t72v2fc3g	Ryan, Marah Ellis	Squaw ??louise	1866-1934.	1866.0					1892			0.122527365803658		False	False	False	False	False	42790	199	215.025	False
uc2.ark+=13960=t8z895p97	Bazin, R	A blot of ink							1892			0.168662259701916		False	False	False	False	False	36974	272	135.934	False
uc2.ark+=13960=t6057s07q	Blackmore, R. D. (Richard Dooddridge)	Cripps, the carrier	1825-1900.	1825.0					1892			0.058564462049734		False	False	False	False	False	77088	347	222.156	False
uiuo.ark+=13960=t7fr0gp03	Martin, Catherine	The silent sea	1848-1937.	1848.0					1892			0.107689232053833		False	False	False	False	False	35050	288	121.701	False
nyp.33433074867387	Warden, Florence	A shock to society	1857-1929.	1857.0					1892			0.04935966995403		False	False	False	False	False	19050	134	142.164	False
uc2.ark+=13960=t8df6nk0z	Crompton, Frances E	Master Bartlemy, or, The thankful heart							1892			0.385531066477439		False	False	False	False	False	12886	148	87.068	False
mdp.39015021967198	Mallock, W. H. (William Hurrell)	A human document	1849-1923.	1849.0					1892			0.234957034931229		False	False	False	False	False	88014	720	122.242	False
uiuo.ark+=13960=t52f87g8b	Yorke, Curtis	A romance of modern London							1892			0.0227515562467		False	False	False	False	False	25142	214	117.486	False
mdp.39015004860105	Sienkiewicz, Henryk	With fire and sword. An historical novel of Poland and Russia	1846-1916.	1846.0					1892			0.266690912662779		False	False	False	False	False	163244	647	252.309	False
uc2.ark+=13960=t3qv3ht1b	Carey, Rosa Nouchette	Aunt Diana	1840-1909.	1840.0					1892			0.064741911617201		False	False	False	False	False	51137	203	251.906	False
nyp.33433074850185	Alexander, Mrs	The snare of the fowler	1825-1902.	1825.0					1892			0.040924796875051		False	False	False	False	False	74376	295	252.122	False
uc2.ark+=13960=t8w957347	Broughton, Rhoda	Mrs. Bligh	1840-1920.	1840.0					1892			0.142699613552869		False	False	False	False	False	33597	297	113.121	False
uc2.ark+=13960=t53f4mk5k	Castlemon, Harry	Two ways of becoming a hunter	1842-1915.	1842.0					1892			0.107327990712127		False	False	False	False	False	39280	336	116.905	False
mdp.39076002226475	Stephen, A. Condie	Fairy tales of a parrot							1892			0.421611863920839		False	False	False	False	False	18326	87	210.644	False
uiuo.ark+=13960=t7xk8p116	Dering, Edward Heneage	The ban of Maplethorpe	1827-1892.	1827.0					1892			0.629620138000888		False	False	False	False	False	53672	252	212.984	False
mdp.39015033456545	Loti, Pierre	The book of pity & of death	1850-1923.	1850.0					1892			0.255331737945843		False	False	False	False	False	24141	220	109.732	False
uiuo.ark+=13960=t9c547s9g	Payn, James	A modern Dick Whittington; or, A patron of letters	1830-1898.	1830.0					1892			0.154831854013576		False	False	False	False	False	29206	231	126.433	False
uc2.ark+=13960=t3319tg6d	Aylesworth, Barton O	"""Thirteen"" and twelve others from the Adirondacks and elsewhere"							1892			0.219927269230721		False	False	False	False	False	35259	215	163.995	False
uc1.b3578724	Hardy, Thomas	Tess of the D'Urbervilles; a pure woman faithfully presented	1840-1928.	1840.0					1892			0.319082859273067		False	False	False	False	False	27843	224	124.299	False
loc.ark+=13960=t2f76qz47	[Jezewski, Stanislaus]	With Columbus in America;							1892			0.204253897741398		False	False	False	False	False	34634	270	128.274	False
nyp.33433034410989	Maartens, Maarten	An old maid's love; a Dutch tale told in English	1858-1915.	1858.0					1892			0.085392005732785		False	False	False	False	False	68100	388	175.515	False
nyp.33433075843544	Theuriet, André	A young man of the period	1833-1907.	1833.0					1892			0.06001895658865		False	False	False	False	False	32957	236	139.648	False
uiuo.ark+=13960=t83j42z5r	Reynolds, Baillie, Mrs	The Ides of March	d. 1939.						1892			0.049967467813108		False	False	False	False	False	24658	254	97.079	False
nyp.33433074910971	Murdoch, James	Ayame-san, a Japanese romance of the 23rd year of Meiji (1890)	1856-1921.	1856.0					1892			0.122975501787627		False	False	False	False	False	32281	268	120.451	False
njp.32101041468792	Johnston, Elizabeth Bryant	Christmas in Kentucky, 1862	1833-1907.	1833.0					1892			0.2775011294579		False	False	False	False	False	5088	34	149.647	False
uc1.b4380112	Johnston, Richard Malcolm	Dukesborough tales; the chronicles of Mr. Bill Williams	1822-1898.	1822.0					1892			0.10471821763498		False	False	False	False	False	53626	251	213.649	False
mdp.39015063975794	Wilson, Theodora B	After many days: an American novel							1892			0.027846079572784		False	False	False	False	False	64376	306	210.379	False
uiuo.ark+=13960=t13n2j187	Fuller, J. F	Chronicles of Westerly							1892			0.0		False	False	False	False	False	23442	231	101.481	False
mdp.39015063546488	Gordon, Julien	Marionettes	1850?-1920.	1850.0					1892			0.128840659975531		False	False	False	False	False	28434	268	106.097	False
njp.32101064919150	| Mary Elizabeth (Braddon), Maxwell, Mrs	"The Venetians A novel : By the author of ""Lady Audley's secret,"" ... In three volumes"	1837-1915.	1837.0					1892			0.172685475598362		False	False	False	False	False	33418	254	131.567	False
uiuo.ark+=13960=t88g9846q	Needell, J. H, Mrs	Passing the love of women	b. 1830.	1830.0					1892			0.094342805484932		False	False	False	False	False	20914	190	110.074	False
nyp.33433076072655	Warren, Cornelia	Miss Wilton	1857-	1857.0					1892			0.098444721165095		False	False	False	False	False	85527	484	176.709	False
uiuo.ark+=13960=t6g16g55v	Clifford, W. K., Mrs	Aunt Anne	d. 1929.						1892			0.072058702247307		False	False	False	False	False	28415	256	110.996	False
nc01.ark+=13960=t6f19r69c	Castlemon, Harry	Rodney, the overseer	1842-1915.	1842.0					1892			0.195286888852564		False	False	False	False	False	48039	386	124.453	False
nc01.ark+=13960=t43r1np9z	Harben, Will N. (William Nathaniel)	A mute confessor	1858-1919.	1858.0					1892			0.176415451942956		False	False	False	False	False	23264	172	135.256	False
nyp.33433005069566	Milman, Constance	Mum Fidgets : and The two Richards							1892			0.330985140995751		False	False	False	False	False	15435	139	111.043	False
uc2.ark+=13960=t80k2cv3t	Barrie, J. M. (James Matthew)	A holiday in bed	1860-1937.	1860.0					1892			0.666492349278447		False	False	False	False	False	15100	148	102.027	False
uiuo.ark+=13960=t4cn7g63f	Ouida	The tower of Taddeo	1839-1908.	1839.0					1892			0.122662014294847		False	False	False	False	False	15451	190	81.321	False
uc2.ark+=13960=t9t14wd16	Greenwood, Grace	Stories and sketches	1823-1904.	1823.0	1904.0		1892.0		1892	9.3	us	0.0	46.4378764409543	False	True	True	True	False	27013	187	144.455	False
uiuo.ark+=13960=t43r17808	Durand, Henry Mortimer	Helen Treveryan;							1892			0.190485533523215		False	False	False	False	False	40723	240	169.679	False
mdp.39015065463039	Claretie, Jules	Pierrille	1840-1913.	1840.0					1892			0.387681688763064		False	False	False	False	False	23201	155	149.684	False
njp.32101066456862	Clifford, W. K., Mrs	The last touches : and other stories / Mrs. W.K. Clifford	d. 1929.						1892			0.065311309371237		False	False	False	False	False	35491	235	151.026	False
uc1.b3578726	Hardy, Thomas	Tess of the D'Urbervilles; a pure woman faithfully presented	1840-1928.	1840.0					1892			0.283772352251947		False	False	False	False	False	29948	238	125.832	False
njp.32101065839761	Mitchel, F. A. (Frederick Augustus)	Chickamauga, a romance of the American Civil War	1839-1918.	1839.0					1892			0.173962398014042		False	False	False	False	False	40227	240	167.612	False
nc01.ark+=13960=t56d6nd8j	King, Grace Elizabeth	Tales of a time and place	1852-1932.	1852.0					1892			0.212702742830424		False	False	True	True	True	39639	263	150.719	False
uva.x001037363	pseud. Stephalius	Merry tales of the monks							1892			0.241641606696298		False	False	False	False	False	74314	322	230.789	False
uiuo.ark+=13960=t4kk9p251	De Fonblanque, Albany	Jedwood justice	1829-1924.	1829.0					1892			0.399976380395325		False	False	False	False	False	19918	231	86.225	False
nyp.33433074930524	Brennan, John F. (John Frederick)	Erin Mor: the story of Irish republicanism							1892			0.297472896307626		False	False	False	False	False	44214	235	188.145	False
uc1.b3421017	Walker, Bettina	My musical experiences	d. 1893.						1892			0.846032299811712		False	False	False	False	False	46299	279	165.946	False
uiuo.ark+=13960=t5cc1kf13	Lawless, Hon. Emily, 1845-1913	Grania							1892			0.469972802437485		False	False	False	False	False	23880	233	102.489	False
uc2.ark+=13960=t2h70cz5x	Field, Kate	Ten days in Spain	1838-1896.	1838.0					1892			0.612071953376408		False	False	False	False	False	21018	235	89.438	False
nyp.33433082256292	Sanborn, Mary Farley	It came to pass	b. 1853.	1853.0					1892			0.069504129478528		False	False	False	False	False	51978	288	180.479	False
uc2.ark+=13960=t8cf9mb07	Garvice, Charles	Once in a life	d. 1920.						1892			0.105252471103016		False	False	False	False	False	80925	283	285.954	False
uc2.ark+=13960=t5s757b3f	Bangs, John Kendrick	In camp with a tin soldier	1862-1922.	1862.0					1892			0.190464959366093		False	False	False	False	False	21736	166	130.94	False
uc2.ark+=13960=t2c828805	Bjørnson, Bjørnstjerne	The heritage of the Kurts							1892			0.387935821803045		False	False	False	False	False	71187	276	257.924	False
uiuo.ark+=13960=t8df78677	Lynch, Arthur	Approaches	1861-1934.	1861.0					1892			0.086405867435313		False	False	False	False	False	32891	299	110.003	False
nyp.33433075738652	Ebner-Eschenbach, Marie von	Beyond atonement	1830-1916.	1830.0					1892			0.256513228338014		False	False	False	False	False	40359	265	152.298	False
uc1.b4102789	Gissing, George	Thyrza; a tale	1857-1903.	1857.0					1892			0.044540537132608		False	False	False	False	False	113264	409	276.929	False
uc2.ark+=13960=t3st7fp3g	Wolf, Emma	Other things being equal	1865-1932.	1865.0					1892			0.054954672976111		False	False	False	False	False	40151	230	174.57	False
wu.89098018633	Davis, Rebecca Harding	Silhouettes of American life	1831-1910.	1831.0					1892			0.23447304705217		False	False	True	True	True	44283	240	184.512	False
uc2.ark+=13960=t8nc5th3p	James, Henry	Daisy Miller & An international episode	1843-1916.	1843.0					1892			0.254162573811871		False	False	False	False	False	28414	249	114.112	False
uc2.ark+=13960=t6057dg40	Piper, Anna W. Ford	Peak's Island							1892			0.375770743958575		False	False	False	False	False	21043	119	176.832	False
wu.89098029036	Henderson, S. E, Mrs	Jelard							1892			0.157799490458255		False	False	False	False	False	64027	454	141.029	False
nyp.33433082309067	Alden, G. R	Glimpses of boyhood							1892			0.560733012310547		False	False	False	False	False	10908	84	129.857	False
nyp.33433074853510	Sheldon, Georgie, Mrs	Wedded by fate; or, Sister Angela	b. 1843.	1843.0					1892			0.178808196056465		False	False	False	False	False	82804	356	232.596	False
uc1.b3327344	Savage, Richard	Prince Schamyl's wooing : a story of the Caucasus-Russo-Turkish War	1846-1903.	1846.0					1892			0.119242985167526		False	False	False	False	False	46660	290	160.897	False
uc2.ark+=13960=t0sq8qg81	Morton, Mary A	Abbie Saunders. A story of pioneer days in Minnesota							1892			0.012398399950248		False	False	False	False	False	42332	258	164.078	False
uiuo.ark+=13960=t9g456q2r	Lefroy, Ella Napier	A Scots thistle							1892			0.150696936687806		False	False	False	False	False	22715	231	98.333	False
mdp.39015063961463	Winter, John Strange	My Geoff; or, The experiences of a lady-help. A novel	1856-1911.	1856.0					1892			0.052998086740802		False	False	False	False	False	46934	263	178.456	False
uc1.b3123862	Hume, Fergus	The island of fantasy : a romance	1859-1932.	1859.0					1892			0.124216483500293		False	False	False	False	False	33766	251	134.526	False
njp.32101068972650	Lathrop, George Parsons, 1851-1898	Gold of pleasure	1851-1898.	1851.0					1892			0.189828480432566		False	False	False	False	False	23491	128	183.523	False
mdp.39015049907325	Wills, C. J. (Charles James)	Laura Ruthven's widowhood	1842-1912.	1842.0					1892			0.112464335904308		False	False	False	False	False	22253	215	103.502	False
mdp.39015063931268	Holmes, Oliver Wendell	Dorothy Q, together with A ballad of the Boston tea party & Grandmother's story of Bunker Hill battle	1809-1894.	1809.0					1892			0.26551656998407		False	False	True	True	True	2038	116	17.569	False
mdp.39015059371578	Matthews, Brander	Americanisms and Briticisms, with other essays on other isms	1852-1929.	1852.0					1892			0.830660864280444		False	False	False	False	False	20940	174	120.345	False
uc2.ark+=13960=t79s1ng4w	Fergusson, Dugald	Bush life in Australia and New Zealand							1893			0.324163746189157		False	False	False	False	False	88814	334	265.91	False
uc2.ark+=13960=t8rb6xq61	Zangwill, Israel	The King of Schnorrers	1864-1926.	1864.0					1893			0.0		False	False	False	False	False	56775	340	166.985	False
nyp.33433082357512	Ogden, Ruth	Courage; a story wherein every one comes to the conclusion that the courage in question proved a courage worth having	1853-1927.	1853.0					1893			0.269441014995963		False	False	False	False	False	11935	98	121.786	False
nyp.33433082530738	Ellis, Edward Sylvester	The wilderness fugitives	1840-1916.	1840.0					1893			0.068909326394647		False	False	True	True	True	25725	220	116.932	False
uc1.b4102966	Optic, Oliver	A victorious union	1822-1897.	1822.0					1893			0.074574867031671		False	False	False	False	False	37249	313	119.006	False
uiuo.ark+=13960=t2n59475k	Hornung, E. W. (Ernest William)	Tiny Luttrell	1866-1921.	1866.0					1893			0.175302905169236		False	False	False	False	False	24432	214	114.168	False
nyp.33433074810924	Dodge, Walter Phelps	Three Greek tales	1869-	1869.0					1893			0.065835772583927		False	False	False	False	False	18404	148	124.351	False
mdp.39015011907246	Doyle, Arthur Conan, Sir	The great shadow and Beyond the city	1859-1930.	1859.0					1893			0.082446269274118		False	False	False	False	False	46529	244	190.693	False
nnc1.cu58325115	Musick, John R. (John Roy)	A century too soon; a story of Bacon's rebellion	1849-1901.	1849.0	1901.0	1893.0			1893	0.6	us	0.525768028392041	43.7723771731688	False	True	True	True	True	47626	358	133.034	False
uva.x002399688	Maupassant, Guy de	A selection from the writings of Guy de Maupassant	1850-1893.	1850.0					1893			0.139197368624329		False	False	False	False	False	50309	290	173.479	False
mdp.39015063547536	Corelli, Marie	The silver domino; or, Side whispers, social and literary	1855-1924.	1855.0					1893			0.441978373115556		False	False	False	False	False	31739	315	100.759	False
mdp.39015080474508	Maupassant, Guy de	Beside Schopenhauer's Corpse	1850-1893.	1850.0					1893			0.47644723355589		False	False	False	False	False	2979	16	186.188	False
mdp.39015087956465	Molesworth, Mrs	Christmas-tree land ; and, A Christmas posy	1839-1921.	1839.0					1893			0.062914462005414		False	False	False	False	False	52671	352	149.634	False
uiuo.ark+=13960=t9668qp3b	Black, William	The handsome Humes	1841-1898.	1841.0					1893			0.081337976671401		False	False	False	False	False	21761	203	107.197	False
nyp.33433018442008	Garvice, Charles	In Cupid's chains, or, A slave for life	d. 1920.						1893			0.062302922971521		False	False	False	False	False	71892	260	276.508	False
uc1.b3149719	Maupassant, Guy de	Monsieur Parent.--Timbuctoo.  The false gems; and other stories	1850-1893.	1850.0					1893			0.147652302919926		False	False	False	False	False	56385	322	175.109	False
nyp.33433074954904	Thomas, Annie	Utterly mistaken	1838-1918.	1838.0					1893			0.186388008838191		False	False	False	False	False	57629	254	226.886	False
njp.32101055308546	Crompton, Frances E	The gentle heritage							1893			0.120218379637306		False	False	False	False	False	18974	162	117.123	False
uc2.ark+=13960=t52f7k91g	Cowles, M. L	Redbank: life on a Southern plantation							1893			0.108209897016315		False	False	False	False	False	63659	316	201.453	False
uc1.32106001748380	Maupassant, Guy de	The portable Maupassant	1850-1893.	1850.0					1893			0.218505800184002		False	False	False	False	False	128139	626	204.695	False
uc2.ark+=13960=t5q819r7s	Meredith, George	The egoist	1828-1909.	1828.0					1893			0.273482371812153		False	False	False	False	False	98578	420	234.71	False
nyp.33433076045297	Morse, Lucy Gibbons	Rachel Stanwood, a story of the middle of the nineteenth century	1839-1936.	1839.0	1936.0		1893.0		1893	23.5	us	0.0	33.180961558701	False	True	True	True	False	64792	370	175.114	False
uc2.ark+=13960=t0ks6kr62	Stanley, Henry M. (Henry Morton)	My dark companions	1841-1904.	1841.0					1893			0.256837724264088		False	False	False	False	False	35629	276	129.091	False
nyp.33433074841796	Picton, Nina	At the threshold							1893			0.516646878783921		False	False	False	False	False	11643	130	89.562	False
mdp.39015030849429	Adams, Francis William Lauderdale	Essays in modernity; criticisms and dialogues	1862-1893.	1862.0					1893			0.734681872428218		False	False	False	False	False	29969	217	138.106	False
nyp.33433074865910	Grand, Sarah	Singularly deluded : a romance							1893			0.395594265073779		False	False	False	False	False	26313	151	174.258	False
uc1.b3290568	Aldrich, Thomas Bailey, Mrs	Ponkapog papers, A sea turn, and other papers	1836-1907.	1836.0					1893			0.318160823223843		False	False	False	False	False	36512	272	134.235	False
nyp.33433043889983	Lee, Vernon	Ottilie: an eighteenth century idyl	1856-1935.	1856.0					1893			0.174804658691911		False	False	False	False	False	13723	160	85.769	False
uiuo.ark+=13960=t71v61h1j	McCarthy, Justin	The dictator	1830-1912.	1830.0					1893			0.086211852719843		False	False	False	False	False	22320	222	100.541	False
uc2.ark+=13960=t8cf9m411	Hayes, M. Horace	The points of the horse							1893			0.966019848779282		False	False	False	False	False	57204	441	129.714	False
nyp.33433082531025	Ellis, Edward Sylvester	The river fugitives	1840-1916.	1840.0					1893			0.100160193530609		False	False	True	True	True	26198	215	121.851	False
uc2.ark+=13960=t7dr2q662	Henty, G. A. (George Alfred)	St. Bartholomew's eve;	1832-1902.	1832.0					1893			0.567041001939343		False	False	False	False	False	83396	347	240.334	False
uc2.ark+=13960=t2q52fv79	Lothrop, Harriett Mulford Stone	Five little Peppers grown up	1844-1924.	1844.0	1924.0	1893.0			1893	4.4	us	0.066274369616476	47.4804964108423	False	True	True	True	False	47017	443	106.133	False
nyp.33433075738140	Werner, E	Clear the track! (Freie bahn) A story of to-day	1838-1918.	1838.0					1893			0.023666204286417		False	False	False	False	False	62043	267	232.371	False
uc1.b3149720	Maupassant, Guy de	Boule de Suif.  Two little soldiers.  Mademoiselle Fifi; and other stories	1850-1893.	1850.0					1893			0.109586353235248		False	False	False	False	False	47594	272	174.978	False
nyp.33433075798250	Maupassant, Guy de	Madame Tellier's establishment, and short stories	1850-1893.	1850.0					1893			0.153705245071929		False	False	False	False	False	44377	267	166.206	False
loc.ark+=13960=t2j682s7x	Egan, Thomas. [from old catalog]	Only one day in my life							1893			0.200580571199784		False	False	False	False	False	9102	64	142.219	False
uiuo.ark+=13960=t81j9x38m	King, Richard Ashe	A Geraldine	1839-1932.	1839.0					1893			0.099260997758221		False	False	False	False	False	20412	222	91.946	False
